Folders,Notes,WorkingSize,BackupSize
camels_01552500_8151091,KEEP_FOLDER,NA,NA
camels_03050000_4353002,NotDELETED_Backup_Not_Same_Size,334826060,982825556
camels_12114500_24538014,KEEP_FOLDER,NA,NA
camels_02018000_8522521,NotDELETED_Backup_Not_Same_Size,1486523177,2699766827
camels_02038850_8611825,NotDELETED_Backup_Not_Same_Size,7268048023,7330904458
camels_06889500_3646124,NotDELETED_Backup_Not_Same_Size,593062045,1724462291
HUC01,NotDELETED_Backup_Not_Same_Size,312811826,385540818
camels_01162500_9343363,NotDELETED_Backup_Not_Same_Size,348122125,667449614
camels_03366500_18451023,NotDELETED_Backup_Not_Same_Size,1303105895,1188279106
camels_06431500_5481765,NotDELETED_Backup_Not_Same_Size,633898429,1263601154
camels_08190500_7876116,NotDELETED_Backup_Not_Same_Size,1376447852,2630225456
camels_11124500_17611425,NotDELETED_Backup_Not_Same_Size,558266704,426097926
camels_14301000_23871899,NotDELETED_Backup_Not_Same_Size,2258809169,4589209882
camels_09035900_1238533,NotDELETED_Backup_Not_Same_Size,314823288,176792461
camels_04015330_1757696,KEEP_FOLDER,NA,NA
camels_03368000_18450047,NotDELETED_Backup_Not_Same_Size,80694940,95032976
camels_02046000_8719481,NotDELETED_Backup_Not_Same_Size,713176997,1111214616
camels_08086290_5525073,KEEP_FOLDER,NA,NA
camels_12013500_23864616,NotDELETED_Backup_Not_Same_Size,797454429,671003518
camels_03026500_6874093,NotDELETED_Backup_Not_Same_Size,114889507,135694676
camels_05507600_4868933,KEEP_FOLDER,NA,NA
camels_08189500_5289461,NotDELETED_Backup_Not_Same_Size,1813248587,3684078867
camels_01440400_4153166,NotDELETED_Backup_Not_Same_Size,504843410,688812397
camels_02212600_6335902,NotDELETED_Backup_Not_Same_Size,488513467,536099605
camels_08200000_10654651,NotDELETED_Backup_Not_Same_Size,389808235,660026484
camels_12092000_23980479,NotDELETED_Backup_Not_Same_Size,383415255,662589714
camels_05487980_22251995,NotDELETED_Backup_Not_Same_Size,2376193033,2295821930
camels_10259000_22592131,KEEP_FOLDER,NA,NA
camels_09447800_21327929,NotDELETED_Backup_Not_Same_Size,1645366315,1540911012
camels_13240000_24177409,NotDELETED_Backup_Not_Same_Size,257278075,404025498
camels_14158790_23773393,KEEP_FOLDER,NA,NA
camels_08109700_5570395,KEEP_FOLDER,NA,NA
ForPaper,NotDELETED_Folder_Not_Backed_Up,NA,404025498
camels_06221400_12899984,NotDELETED_Backup_Not_Same_Size,346007963,748636284
camels_06224000_12900470,NotDELETED_Backup_Not_Same_Size,598292653,1360310946
camels_12025700_23850773,NotDELETED_Backup_Not_Same_Size,446075632,311191622
camels_07375000_18928210,KEEP_FOLDER,NA,NA
camels_02430085_18693151,KEEP_FOLDER,NA,NA
camels_03456500_22152435,NotDELETED_Backup_Not_Same_Size,529680353,396640263
camels_02016000_8523325,NotDELETED_Backup_Not_Same_Size,1356341345,3340515210
camels_01606500_8423278,NotDELETED_Backup_Not_Same_Size,3162679003,6158792747
camels_01669000_8479268,NotDELETED_Backup_Not_Same_Size,347843029,281303314
camels_07299670_13741403,KEEP_FOLDER,NA,NA
camels_03049000_11049880,NotDELETED_Backup_Not_Same_Size,263661220,675215556
camels_09065500_1320264,NotDELETED_Backup_Not_Same_Size,274049478,135104166
camels_09066200_1320244,NotDELETED_Backup_Not_Same_Size,246392984,107997924
camels_06876700_3539121,KEEP_FOLDER,NA,NA
camels_06479215_9370700,KEEP_FOLDER,NA,NA
camels_02465493_18208346,KEEP_FOLDER,NA,NA
camels_03010655_8971150,NotDELETED_Backup_Not_Same_Size,220103782,603807870
camels_06332515_21539242,NotDELETED_Backup_Not_Same_Size,319130352,532599928
camels_01413500_1748583,NotDELETED_Backup_Not_Same_Size,491313377,670288140
FilesFromNaoki,NotDELETED_Backup_Not_Same_Size,18570,534666
camels_07195800_399452,KEEP_FOLDER,NA,NA
camels_07196900_400822,KEEP_FOLDER,NA,NA
camels_03069500_3775993,NotDELETED_Backup_Not_Same_Size,1088991683,4063551845
camels_13018300_24432663,NotDELETED_Backup_Not_Same_Size,134074812,148412851
camels_02053200_8746117,NotDELETED_Backup_Not_Same_Size,1247101173,2226643801
camels_03460000_22151401,NotDELETED_Backup_Not_Same_Size,474229596,339484344
camels_02196000_11730030,NotDELETED_Backup_Not_Same_Size,2643815969,3968521350
camels_12054000_24287056,NotDELETED_Backup_Not_Same_Size,302993571,497544110
camels_14182500_23780805,NotDELETED_Backup_Not_Same_Size,437311418,773205925
camels_08171300_1631023,NotDELETED_Backup_Not_Same_Size,1091563312,2061660867
camels_07083000_916821,NotDELETED_Backup_Not_Same_Size,202872259,293914460
camels_04213000_9841738,NotDELETED_Backup_Not_Same_Size,937484367,814567061
camels_01484100_8077030,NotDELETED_Backup_Not_Same_Size,81842083,105316631
camels_12056500_24285534,NotDELETED_Backup_Not_Same_Size,303051917,497095600
camels_07315200_13660367,KEEP_FOLDER,NA,NA
camels_14185900_23786019,NotDELETED_Backup_Not_Same_Size,454994607,809810314
camels_02051500_8741021,NotDELETED_Backup_Not_Same_Size,2699490276,5224128898
camels_01435000_4147956,KEEP_FOLDER,NA,NA
